Dataset name	Codename	Access link	Publisher	Repository	Languages	Creation year	License	ISLRN	ISBN	LR catalogue ID/URI	Reference publication	Contact point	Latest version	Last update year	Available	Funding	usage cost	Price - non commercial usage	Price - Commercial usage	Purpose and split	Size audio total [hours]	Size audio transcribed [hours]	Size [GB]	Speakers	Audio recordings	Audio segmentation	Tokens	Unique tokens	Automatic QA	Manual QA	Manual QA scope	Transcription coverage	Transcription protocol	Normalized transcriptions	Transcription and annotation format	Domain	Speech type	Audio collection process	Speech recordings providers	Acoustic environment	Audio device	Device model	Audio format	Audio codec	Channels	Sampling rate [Hz]	Bits per sample	Age coverage	Age balanced	Gender coverage	Gender balanced	Nativity coverage	Accent coverage	Accent balanced	Time alignement coverage	Named entities coverage	Part of speech coverage	Occupation coverage
Korpus mowy szeptanej Politechniki Poznańskiej	put-whisper-16	https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-19695dfb-03d8-401f-bb88-c90abebe2bf5	PUT	None	pl-PL	2016	no info	no info	no info	no info	https://sigma-not.pl/publikacja-102012-2016-11.html	Piotr Kozierski	no info	no info	no info	Polish Ministry of Higher Education	no info	no info	no info	no info	9	9	no info	no info	no info	no	no info	no info	no info	no info	no info	no info	no info		no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Pelcra EMI	pelcra-emi-18	http://docs.pelcra.pl/doku.php?id=spoken_offline_corpora	PELCRA	PELCRA	pl-GB	2018	CC-BY	no info	no info	PELCRA_EMI	http://www.lrec-conf.org/proceedings/lrec2018/pdf/888.pdf	Piotr Pęzik	no info	2018	yes	CLARIN-PL	free	free	free	valid	18	9	12	44	22	no	96000	no info	no info	no info	no info	100	no info		JSON, EAF, ELAN, EMU, TextGrid	interviews with polish emmigrants in Scotlant	spontenous	controlled	volunteers	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Polish Sejm Senat speech corpus	clarin-sejm_senat-18	https://huggingface.co/datasets/jimregan/clarinpl_sejmsenat	PJATK	DSpace CLARIN PL	pl-PL	2018	CC-BY	no info	no info	no info	https://acoustics.ippt.pan.pl/index.php/aa/article/view/327/pdf_32	Daniel Korzinek	no info	2018	yes	Polish Ministry of Higher Education	free	free	free	train, test	97	97	no info	516	6,762	no	no info	no info	no info	no info	no info	no info	no info		no info	parliamentry speech	lecture	corpus	public speakers	parliament	no info	no info	wav	pcm	1	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Pelcra EMO	pelcra-emo-18	http://docs.pelcra.pl/doku.php?id=spoken_offline_corpora	PELCRA	PELCRA	pl-PL	2018	CC-BY	no info	no info	PELCRA_EMO	http://www.lrec-conf.org/proceedings/lrec2018/pdf/888.pdf	Piotr Pęzik	no info	2018	yes	CLARIN-PL	free	free	free	train, valid, test	28	26	2.2	80	40	no	252000	no info	no info	no info	no info	100	no info		JSON, EAF, ELAN, EMU, TextGrid	interiews focused on reflecting on emotions	spontenous	controlled	volunteers	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Pelcra LUZ	pelcra-luz-18	http://docs.pelcra.pl/doku.php?id=spoken_offline_corpora	PELCRA	PELCRA	pl-PL	2018	CC-BY	no info	no info	PELCRA_LUZ	http://www.lrec-conf.org/proceedings/lrec2018/pdf/888.pdf	Piotr Pęzik	no info	2018	yes	CLARIN-PL	free	free	free	none	20	20	13.2	42	21	no	213000	no info	no info	no info	no info	100	no		JSON, EAF, ELAN, EMU, TextGrid	open interviews	spontenous	controlled	volunteers	quiet	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Pelcra Mowa Miasta Kraków	pelcra-mmk-18	http://docs.pelcra.pl/doku.php?id=spoken_offline_corpora	PELCRA	PELCRA	pl-PL	2018	CC-BY	no info	no info	MMK	http://www.lrec-conf.org/proceedings/lrec2018/pdf/888.pdf	Piotr Pęzik	no info	2018	yes	CLARIN-PL	free	free	free	none	2	2	no info	11	4	no	15900	no info	no info	no info	no info	no info	no		no info	conversations	spontaneous	corpus	no info	mixed	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Pelcra Mowa Miasta Wrocław 1	pelcra-mmw-18	http://docs.pelcra.pl/doku.php?id=spoken_offline_corpora	PELCRA	PELCRA	pl-PL	2018	CC-BY	no info	no info	MMW_1	http://www.lrec-conf.org/proceedings/lrec2018/pdf/888.pdf	Piotr Pęzik	no info	2018	yes	CLARIN-PL	free	free	free	none	8	7	no info	65	14	no	60000	no info	no info	no info	no info	no info	no		no info	conversations	spontaneous	corpus	no info	mixed	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Pelcra Mowa Miasta Wrocłąw 2	pelcra-mmw2-18	http://docs.pelcra.pl/doku.php?id=spoken_offline_corpora	PELCRA	PELCRA	pl-PL	2018	CC-BY	no info	no info	MMW_2	http://www.lrec-conf.org/proceedings/lrec2018/pdf/888.pdf	Piotr Pęzik	no info	2018	yes	CLARIN-PL	free	free	free	none	7	7	no info	38	14	no	70000	no info	no info	no info	no info	no info	no		no info	parliamentary speeches	lecture	corpus	no info	mixed	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Pelcra PARL	pelcra-parl-15	http://docs.pelcra.pl/doku.php?id=spoken_offline_corpora	PELCRA	PELCRA	pl-PL	2018	CC-BY	no info	no info	PELCRA_PARL	http://www.lrec-conf.org/proceedings/lrec2018/pdf/888.pdf	Piotr Pęzik	no info	2018	yes	CLARIN-PL	free	free	free	none	14	12	no info	251	48	no	99000	no info	no info	no info	no info	no info	no		no info	conversations	spontaneous	corpus	public speakers	mixed	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Polish Speech Database	ldc-polish-speech-db-19	https://catalog.ldc.upenn.edu/LDC2019S19	LDC	LDC	pl-PL	2019	LDC	803-554-461-385-1	1-58563-903-6	LDC2019S19	no info	Tomasz Szwelnik	no info	no info	yes	VoiceLab	paid	3000 USD	3000 USD	train, valid, test	280	280	no info	200	263,424	no	815000	no info	yes	yes	transcription and annotation	100	no		plain text	multi	read	controlled	paid contributors	quiet	headset	no info	flac	flac	1	16000	16	yes	Mostly 15-30	yes	M51%-F49%	yes	no info	N/A	no info	no info	no info	no info
Pelcra YouTube 2	pelcra-yt2-19	http://docs.pelcra.pl/doku.php?id=spoken_offline_corpora	PELCRA	PELCRA	pl-PL	2019	CC-BY	no info	no info	PELCRA_YT2	http://www.lrec-conf.org/proceedings/lrec2018/pdf/888.pdf	Piotr Pęzik	no info	2018	yes	CLARIN-PL	free	free	free	none	6	5	no info	45	23	no	49000	no info	no info	no info	no info	no info	no		no info	multi	mixed	corpus	public speakers	mixed	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
PolEval 2019	pjatk-poleval-2019	http://2019.poleval.pl/index.php/tasks/task5	PJATK	None	pl-PL	2019	no info	no info	no info	no info	http://2019.poleval.pl/files/2019/11.pdf	Daniel Korzinek	no info	2019	yes	PJATK	free	free	free	test	1	1	0.8	no info	29	no	no info	no info	no info	no info	no info	0	UTF-8, lowercase, no punctuation, no numbers, no abbreviations		no info	parliamentary speeches	lecture	corpus	public speakers	various	no info	no info	wav	pcm	1	16000	16	no	N/A	no	N/A	no	no	no	no	no	no	no
M-AILABS speech dataset	mailabs-19	https://www.caito.de/2019/01/03/the-m-ailabs-speech-dataset/	M-AILABS	Coqui Free Corpora Catalog	multi	2019	Proprietary	no info	no info	no info	no info	Imdat Solak	no info	2019	yes	M-AILABS	free	free	free	no info	54	54	4.2	no info	no info	no	no info	no info	no info	no info	no info	100	yes		yes	multiple	read	corpus	volunteers	quiet	various	various	wav	pcm	1	16000	16	no	N/A	yes	no info	no	no	N/A	no	no	no	no
PWR Atlas Zasobów Otwartej Nauki AZON nagrania kontrolowane	pwr-azon-read-21	https://zasobynauki.pl/zasoby/korpus-nagran-probek-mowy-do-celow-budowy-modeli-akustycznych-dla-automatycznego-rozpoznawania-mowy,62687/	WUST	AZON	pl-PL	2020	CC BY-SA 	no info	no info	no info	no info	Teresa Sas	no info	2022	yes	Politechnika Wrocławska	free	free	free	none	5	5	1.7	29	2,788	no	no info	no info	no info	no info	no info	100	no info		no info	multiple	read	controlled	volunteers	quiet	no info	no info	wav	pcm	1	44100	16	no	N/A	yes	M72%-F28%	no	no	N/A	no	no	no	no
PWR Atlas Zasobów Otwartej Nauki AZON nagrania spontaniczne	pwr-azon-spontaneous-21	https://zasobynauki.pl/zasoby/korpus-nagran-probek-mowy-do-celow-budowy-modeli-akustycznych-dla-automatycznego-rozpoznawania-mowy,62687/	WUST	AZON	pl-PL	2020	CC BY-SA 	no info	no info	no info	no info	Teresa Sas	no info	2022	yes	Politechnika Wrocławska	free	free	free	none	2	2	0.65	27	456	no	no info	no info	no info	no info	no info	100	no info		no info	multiple	spontaneous	corpus	public speakers	mixed	no info	no info	wav	pcm	1	44100	16	no	N/A	yes	M72%-F28%	no	no	N/A	no	no	no	no
Pelcra YouTube 1 	pelcra-yt1-20	http://docs.pelcra.pl/doku.php?id=spoken_offline_corpora	PELCRA	PELCRA	pl-PL	2020	CC-BY	no info	no info	PELCRA_YT1	http://www.lrec-conf.org/proceedings/lrec2018/pdf/888.pdf	Piotr Pęzik	no info	2018	yes	CLARIN-PL	free	free	free	none	7	5	no info	106	25	no	49000	no info	no info	no info	no info	no info	no		no info	multi	mixed	corpus	public speakers	various	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info	no info
Mozilla Common Voice	mozilla-comm-voice-22	commonvoice.mozilla.org/	Mozilla Foundation	Common Voice	multi	2020	CC-0	no info	no info	no info	https://arxiv.org/pdf/1912.06670.pdf	Mozilla Org	9.0	2022	yes	Mozilla Foundation	free	free	free	train, valid, test	148	148	4	3062	no info	no	no info	no info	no info	yes	up to 3 binary validations of each recording (2 if first 2 validations are consistent)	100	no info		no info	news, literature	read	open	crowd	various	various	multiple	mp3	mpeg-3	1	48000	16	yes	yes	yes	M60%-F14%	no	no	N/A	no info	no	no	N/A
Multilingual librispeech	fair-mls-20	https://www.openslr.org/94/	FAIR	Github	multi	2020	CC-BY	no info	no info	SLR94	https://arxiv.org/abs/2012.03411	Facebook (Meta)	2	2020	yes	Facebook	free	free	free	train, valid, test	137	137	6.2	16	28,860	no	492320	67100	yes	yes	manually transcribed and annotated dev, test subsets	100	yes		no info	books	read	corpus	volunteers	various	various	no info	flac	opus	1	16000	16	no	N/A	yes	no info	no	no	N/A	no	no	no	N/A
Vox populi	fair-voxpopuli-pl-21	https://github.com/facebookresearch/voxpopuli	FAIR	Github	multi	2021	CC-0	no info	no info	no info	https://arxiv.org/abs/2101.00390	Changhan Wang (changhan@fb.com), Morgane Rivière (mriviere@fb.com), Ann Lee (annl@fb.com)	2	2022	yes	European Union	free	free	free	train, valid, test	21200	111	no info	282	no info	no	802000	no info	yes	yes	transcription	0.52%	no info		no info	parliament speech	lecture	corpus	public speakers	various	studio mic	no info	ogg	vorbis	1	16000	16	no	N/A	no	M76%-F24%	yes	no	N/A	no info	no	no	no
Korpus radiowy	clarin-radio-21	https://clarin-pl.eu/DSpace/handle/11321/820	PJATK	DSpace CLARIN PL	pl-PL	2021	CC-BY	no info	no info	no info	no info	Łukasz Brocki	no info	2021	yes	Polish Ministry of Higher Education	free	free	free	none	7	0	0.75	200	192	no	no info	no info	no info	no info	no info	0	N/A		N/A	no info	spontaneus, scripted	corpus	public speakers	mixed	various	no info	raw	pcm	1	16000	16	no	no info	no	N/A	no	no	N/A	no	no	no	N/A
EU Parliament	clarin-pjatk-pinc-21	https://clarin-pl.eu/DSpace/handle/11321/821	PJATK	DSpace CLARIN PL	pl-PL	2021	CC-BY	no info	no info	http://hdl.handle.net/11321/821	no info	Daniel Korzinek	no info	2021	yes	Polish Ministry of Science and Higher Education (N N104 205039)	free	free	free	none	32	32	3.7	no info	1,040	yes	no info	no info	no info	no info	no info	100	no info		no info	multiple	lecture	corpus	public speakers	various	various	no info	wav	pcm	1	16000	16	no	N/A	no	N/A	no	no	no	yes	no	yes	no
DiaBiz sample	clarin-diabiz-sample-22	https://clarin-pl.eu/DSpace/handle/11321/821	PELCRA	DSpace CLARIN PL	pl-PL	2022	CC-BY	no info	no info	no info	no info	Piotr Pęzik	no info	no info	yes	European Union, Poland, Clarin-Biz	free	free	free	none	1	1	no info	no info	no info	no	no info	no info	no info	yes	transcription	100	no info		no info	customer service	script	corpus	public speakers	quiet	headset	no info	wav	pcm	1	8000	16	no info	no info	no info	no info	yes	no info	no info	yes	no	no	no
DiaBiz	clarin-diabiz-22	http://docs.pelcra.pl/doku.php?id=diabiz	PELCRA	DSpace CLARIN PL	pl-PL	2022	Commercial	no info	no info	no info	DiaBiz – an Annotated Corpus of Polish Call Center Dialogs	Piotr Pęzik	no info	no info	yes	CLARIN	paid	no info	no info	train, valid, test	410	410	no info	196	3,764	no	447576	no info	no info	no info	no info	100	no info		json, xml, txt	multi-domain	dialogs	controlled	paid contributors	quiet	landline phone	no info	wav	pcm	2	8000	16	no info	no info	yes	no info	no	no	no	yes	no	no	no
Diabiz eval	clarin-diabiz-eval-22	http://docs.pelcra.pl/doku.php?id=diabiz	PELCRA	DSpace CLARIN PL	pl-PL	2022	Commercial	no info	no info	no info	no info	Piotr Pęzik	no info	no info	yes	European Union, Poland, Clarin-Biz	paid	no info	no info	test	41	41	no info	146	no info	no	no info	no info	no info	yes	transcription	100	no info		no info	customer service	script	controlled	paid contributors	quiet	landline phone	no info	wav	pcm	2	8000	16	no info	no info	no info	no info	yes	no info	no info	yes	no	no	no
PWR male set sample	pwr-male-sample-unk	https://www.ii.pwr.edu.pl/~sas/ASR/	WUST	Author's page	pl-PL	no info	no info	no info	no info	no info	no info	no info	no info	no info	yes	Politechnika Wrocławska	free	free	free	none	6	6	0.57	no info	4,738	no	no info	no info	no info	no info	no info	100	no info		no info	no info	read	no info	no info	no info	studio mic	various	wav	pcm	1	16000	16	no	N/A	no	N/A	no	no	N/A	no	no	no	no
PWR short words sample	pwr-short-words-unk	https://www.ii.pwr.edu.pl/~sas/ASR/	WUST	Author's page	pl-PL	no info	no info	no info	no info	no info	no info	no info	no info	no info	yes	Politechnika Wrocławska	free	free	free	none	1	1	0.35	no info	939	no	no info	no info	no info	no info	no info	100	no info		no info	no info	read	no info	no info	no info	studio mic	various	wav	pcm	1	44100	16	no	N/A	no	N/A	no	no	N/A	no	no	no	no
PWR Very Important Utterances	pwr-vui-unk	https://www.ii.pwr.edu.pl/~sas/ASR/	WUST	Author's page	pl-PL	no info	no info	no info	no info	no info	no info	no info	no info	no info	yes	Politechnika Wrocławska	free	free	free	none	1	1	0.1	no info	2,703	no	no info	no info	no info	no info	no info	100	no info		no info	no info	read	no info	no info	no info	studio mic	various	wav	pcm	1	44100	16	no	N/A	no	N/A	no	no	N/A	no	no	no	no
